week_start,capacity_bytes,drive_type,count
2014-09-15,500107862016,HDD,3
2014-09-15,4000787030016,HDD,96
2014-09-22,500107862016,HDD,10
2014-09-22,2000398934016,HDD,3
2014-09-22,3000592982016,HDD,1
2014-09-22,4000787030016,HDD,182
2014-09-29,500107862016,HDD,18
2014-09-29,2000398934016,HDD,2
2014-09-29,3000592982016,HDD,1
2014-09-29,4000787030016,HDD,949
2014-10-06,500107862016,HDD,8
2014-10-06,2000398934016,HDD,1
2014-10-06,3000592982016,HDD,9
2014-10-06,4000787030016,HDD,233
2014-10-13,500107862016,HDD,18
2014-10-13,2000398934016,HDD,1
2014-10-13,3000592982016,HDD,1
2014-10-13,4000787030016,HDD,768
2014-10-20,500107862016,HDD,2
2014-10-20,2000398934016,HDD,1
2014-10-20,4000787030016,HDD,7
2014-10-27,500107862016,HDD,11
2014-10-27,2000398934016,HDD,4
2014-10-27,3000592982016,HDD,1
2014-10-27,4000787030016,HDD,497
2014-11-03,500107862016,HDD,12
2014-11-03,2000398934016,HDD,1
2014-11-03,3000592982016,HDD,3
2014-11-03,4000787030016,HDD,541
2014-11-10,500107862016,HDD,35
2014-11-10,3000592982016,HDD,2
2014-11-10,4000787030016,HDD,1215
2014-11-17,500107862016,HDD,8
2014-11-17,3000592982016,HDD,7
2014-11-17,4000787030016,HDD,105
2014-11-24,3000592982016,HDD,6
2014-11-24,4000787030016,HDD,6
2014-12-01,500107862016,HDD,2
2014-12-01,2000398934016,HDD,6
2014-12-01,3000592982016,HDD,4
2014-12-01,4000787030016,HDD,11
2014-12-08,500107862016,HDD,19
2014-12-08,2000398934016,HDD,1
2014-12-08,3000592982016,HDD,1
2014-12-08,4000787030016,HDD,496
2014-12-08,6001175126016,HDD,225
2014-12-15,500107862016,HDD,5
2014-12-15,3000592982016,HDD,2
2014-12-15,4000787030016,HDD,1
2014-12-22,500107862016,HDD,4
2014-12-22,2000398934016,HDD,1
2014-12-22,3000592982016,HDD,22
2014-12-22,4000787030016,HDD,139
2014-12-29,2000398934016,HDD,2
2014-12-29,3000592982016,HDD,3
2014-12-29,4000787030016,HDD,4
2014-12-29,6001175126016,HDD,1
2015-01-05,500107862016,HDD,2
2015-01-05,2000398934016,HDD,2
2015-01-05,3000592982016,HDD,8
2015-01-05,4000787030016,HDD,56
2015-01-12,500107862016,HDD,6
2015-01-12,2000398934016,HDD,6
2015-01-12,3000592982016,HDD,2
2015-01-12,4000787030016,HDD,150
2015-01-12,6001175126016,HDD,90
2015-01-19,500107862016,HDD,14
2015-01-19,2000398934016,HDD,1
2015-01-19,3000592982016,HDD,2
2015-01-19,4000787030016,HDD,511
2015-01-19,6001175126016,HDD,92
2015-01-26,500107862016,HDD,7
2015-01-26,2000398934016,HDD,2
2015-01-26,3000592982016,HDD,1
2015-01-26,4000787030016,HDD,277
2015-02-02,500107862016,HDD,4
2015-02-02,2000398934016,HDD,1
2015-02-02,3000592982016,HDD,4
2015-02-02,4000787030016,HDD,50
2015-02-02,6001175126016,HDD,2
2015-02-02,8001563222016,HDD,45
2015-02-09,500107862016,HDD,25
2015-02-09,3000592982016,HDD,1
2015-02-09,4000787030016,HDD,1084
2015-02-16,500107862016,HDD,7
2015-02-16,3000592982016,HDD,2
2015-02-16,4000787030016,HDD,8
2015-02-16,6001175126016,HDD,90
2015-02-23,500107862016,HDD,4
2015-02-23,3000592982016,HDD,3
2015-02-23,4000787030016,HDD,5
2015-03-02,500107862016,HDD,8
2015-03-02,3000592982016,HDD,39
2015-03-02,4000787030016,HDD,53
2015-03-02,5000981078016,HDD,45
2015-03-02,6001175126016,HDD,136
2015-03-09,500107862016,HDD,7
2015-03-09,2000398934016,HDD,1
2015-03-09,3000592982016,HDD,78
2015-03-09,4000787030016,HDD,53
2015-03-09,6001175126016,HDD,135
2015-03-16,500107862016,HDD,7
2015-03-16,2000398934016,HDD,2
2015-03-16,3000592982016,HDD,6
2015-03-16,4000787030016,HDD,10
2015-03-16,6001175126016,HDD,91
2015-03-16,8001563222016,HDD,1
2015-03-23,500107862016,HDD,7
2015-03-23,2000398934016,HDD,6
2015-03-23,3000592982016,HDD,1
2015-03-23,4000787030016,HDD,53
2015-03-23,6001175126016,HDD,1
2015-03-30,500107862016,HDD,23
2015-03-30,2000398934016,HDD,5
2015-03-30,3000592982016,HDD,1
2015-03-30,4000787030016,HDD,12
2015-03-30,6001175126016,HDD,900
2015-04-06,500107862016,HDD,6
2015-04-06,2000398934016,HDD,5
2015-04-06,3000592982016,HDD,3
2015-04-06,4000787030016,HDD,20
2015-04-06,6001175126016,HDD,226
2015-04-13,500107862016,HDD,7
2015-04-13,2000398934016,HDD,6
2015-04-13,3000592982016,HDD,3
2015-04-13,4000787030016,HDD,12
2015-04-13,5000981078016,HDD,1
2015-04-13,6001175126016,HDD,271
2015-04-20,500107862016,HDD,18
2015-04-20,2000398934016,HDD,7
2015-04-20,3000592982016,HDD,4
2015-04-20,4000787030016,HDD,911
2015-04-20,6001175126016,HDD,2
2015-04-27,500107862016,HDD,2
2015-04-27,2000398934016,HDD,1
2015-04-27,3000592982016,HDD,5
2015-04-27,4000787030016,HDD,238
2015-04-27,6001175126016,HDD,7
2015-05-04,500107862016,HDD,2
2015-05-04,2000398934016,HDD,6
2015-05-04,3000592982016,HDD,11
2015-05-04,4000787030016,HDD,105
2015-05-04,6001175126016,HDD,3
2015-05-11,500107862016,HDD,1
2015-05-11,2000398934016,HDD,2
2015-05-11,3000592982016,HDD,6
2015-05-11,4000787030016,HDD,11
2015-05-11,6001175126016,HDD,2
2015-05-18,500107862016,HDD,18
2015-05-18,2000398934016,HDD,5
2015-05-18,3000592982016,HDD,4
2015-05-18,4000787030016,HDD,872
2015-05-18,6001175126016,HDD,3
2015-05-25,2000398934016,HDD,4
2015-05-25,3000592982016,HDD,2
2015-05-25,4000787030016,HDD,20
2015-05-25,6001175126016,HDD,1
2015-06-01,250059350016,HDD,1
2015-06-01,320072933376,HDD,1
2015-06-01,500107862016,HDD,4
2015-06-01,2000398934016,HDD,3
2015-06-01,3000592982016,HDD,2
2015-06-01,4000787030016,HDD,95
2015-06-01,6001175126016,HDD,1
2015-06-08,500107862016,HDD,23
2015-06-08,2000398934016,HDD,5
2015-06-08,3000592982016,HDD,9
2015-06-08,4000787030016,HDD,902
2015-06-15,2000398934016,HDD,6
2015-06-15,3000592982016,HDD,3
2015-06-15,4000787030016,HDD,7
2015-06-15,6001175126016,HDD,1
2015-06-22,500107862016,HDD,4
2015-06-22,2000398934016,HDD,1
2015-06-22,3000592982016,HDD,1
2015-06-22,4000787030016,HDD,5
2015-06-22,6001175126016,HDD,2
2015-06-29,500107862016,HDD,1
2015-06-29,2000398934016,HDD,3
2015-06-29,3000592982016,HDD,3
2015-06-29,4000787030016,HDD,10
2015-06-29,6001175126016,HDD,1
2015-07-06,2000398934016,HDD,2
2015-07-06,3000592982016,HDD,1
2015-07-06,4000787030016,HDD,16
2015-07-13,3000592982016,HDD,4
2015-07-13,4000787030016,HDD,12
2015-07-13,6001175126016,HDD,1
2015-07-20,500107862016,HDD,16
2015-07-20,3000592982016,HDD,4
2015-07-20,4000787030016,HDD,911
2015-07-20,6001175126016,HDD,2
2015-07-27,2000398934016,HDD,1
2015-07-27,3000592982016,HDD,4
2015-07-27,4000787030016,HDD,10
2015-08-03,500107862016,HDD,21
2015-08-03,2000398934016,HDD,3
2015-08-03,3000592982016,HDD,6
2015-08-03,4000787030016,HDD,914
