country,value,date,fuel_type
CZECH REPUBLIC,21315.0,201506,All
DENMARK,21334.0,201506,All
ESTONIA,1971.0,201506,All
FINLAND,8976.0,201506,All
FRANCE,225638.0,201506,All
GERMANY,313539.0,201506,All
GREECE,8999.0,201506,All
HUNGARY,7348.0,201506,All
IRELAND,1448.0,201506,All
ITALY,146682.0,201506,All
LATVIA,1243.0,201506,All
LITHUANIA,1591.0,201506,All
LUXEMBURG,4548.0,201506,All
NETHERLANDS,36999.0,201506,All
POLAND,30390.0,201506,All
PORTUGAL,21067.0,201506,All
ROMANIA,8630.0,201506,All
SLOVAKIA,7455.0,201506,All
SLOVENIA,5446.0,201506,All
SPAIN,111333.0,201506,All
SWEDEN,32257.0,201506,All
UNITED KINGDOM,257817.0,201506,All
ICELAND,2576.0,201506,All
NORWAY,14207.0,201506,All
SWITZERLAND,33119.0,201506,All
AUSTRIA,26917.0,201507,All
BELGIUM,36121.0,201507,All
BULGARIA,2061.0,201507,All
CROATIA,3289.0,201507,All
CYPRUS,1091.0,201507,All
CZECH REPUBLIC,21415.0,201507,All
DENMARK,16236.0,201507,All
ESTONIA,1861.0,201507,All
FINLAND,8721.0,201507,All
FRANCE,147125.0,201507,All
GERMANY,290196.0,201507,All
GREECE,5447.0,201507,All
HUNGARY,7012.0,201507,All
IRELAND,27593.0,201507,All
ITALY,132096.0,201507,All
LATVIA,1237.0,201507,All
LITHUANIA,1563.0,201507,All
LUXEMBURG,4334.0,201507,All
NETHERLANDS,33908.0,201507,All
POLAND,29654.0,201507,All
PORTUGAL,15548.0,201507,All
ROMANIA,9253.0,201507,All
SLOVAKIA,7080.0,201507,All
SLOVENIA,5079.0,201507,All
SPAIN,102922.0,201507,All
SWEDEN,24139.0,201507,All
UNITED KINGDOM,178420.0,201507,All
ICELAND,1163.0,201507,All
NORWAY,12394.0,201507,All
SWITZERLAND,30228.0,201507,All
AUSTRIA,22677.0,201508,All
BELGIUM,31252.0,201508,All
BULGARIA,1607.0,201508,All
CROATIA,1653.0,201508,All
CYPRUS,658.0,201508,All
CZECH REPUBLIC,18278.0,201508,All
DENMARK,16156.0,201508,All
ESTONIA,1524.0,201508,All
FINLAND,8402.0,201508,All
FRANCE,92048.0,201508,All
GERMANY,226314.0,201508,All
GREECE,4470.0,201508,All
HUNGARY,4997.0,201508,All
IRELAND,6408.0,201508,All
ITALY,59203.0,201508,All
LATVIA,1000.0,201508,All
LITHUANIA,1208.0,201508,All
LUXEMBURG,2636.0,201508,All
NETHERLANDS,31225.0,201508,All
POLAND,23559.0,201508,All
PORTUGAL,9436.0,201508,All
ROMANIA,7362.0,201508,All
SLOVAKIA,6785.0,201508,All
SLOVENIA,3993.0,201508,All
SPAIN,55918.0,201508,All
SWEDEN,26877.0,201508,All
UNITED KINGDOM,79060.0,201508,All
ICELAND,842.0,201508,All
NORWAY,12604.0,201508,All
SWITZERLAND,23431.0,201508,All
AUSTRIA,25966.0,201509,All
BELGIUM,36725.0,201509,All
BULGARIA,1872.0,201509,All
CROATIA,2123.0,201509,All
CYPRUS,968.0,201509,All
CZECH REPUBLIC,18056.0,201509,All
DENMARK,17829.0,201509,All
ESTONIA,1817.0,201509,All
FINLAND,8513.0,201509,All
FRANCE,164769.0,201509,All
GERMANY,272479.0,201509,All
GREECE,5125.0,201509,All
HUNGARY,6270.0,201509,All
IRELAND,4775.0,201509,All
ITALY,130071.0,201509,All
LATVIA,1184.0,201509,All
LITHUANIA,1530.0,201509,All
LUXEMBURG,3376.0,201509,All
NETHERLANDS,35277.0,201509,All
POLAND,27255.0,201509,All
PORTUGAL,12625.0,201509,All
ROMANIA,5752.0,201509,All
SLOVAKIA,5969.0,201509,All
