food_code,name,group,protein,fat,carbs,cals,fibre,g,g2,short_name
14-845,Sunflower seeds,GA,19.8,47.5,18.6,576,0,G,Nuts and seeds,Sunflower seeds
13-359,"Swede, flesh only, raw",DG,0.7,0.3,5,24,NA,D,Vegetables,Swede
13-463,"Sweet potato, raw, flesh only",DG,1.2,0.3,21.3,87,0,D,Vegetables,Sweet potato
13-552,"Sweetcorn, baby, fresh and frozen, boiled in unsalted water",DG,2.5,0.4,2.7,24,0,D,Vegetables,Baby sweetcorn
13-623,"Sweetcorn, kernels, 'on-the-cob', raw, weighed with core",DG,2,1.1,4.8,36,0,D,Vegetables,Sweetcorn
17-065,"Syrup, golden",SC,0.3,0,79,298,0,S,Sugars and snacks,Golden syrup
13-857,"Tarragon, fresh",H,3.4,1.1,6.3,49,,H,Herbs and spices,Tarragon
13-893,"Thyme, fresh",H,3,2.5,15.1,95,12.3,H,Herbs and spices,Thyme
13-531,Tomato puree,DG,4.4,0.2,12.9,67,4.7,D,Vegetables,Tomato puree
13-519,"Tomatoes, cherry, raw",DG,1.1,0.5,3.6,22,1.3,D,Vegetables,Cherry tomatoes
13-517,"Tomatoes, standard, raw",DG,0.5,0.1,3,14,1,D,Vegetables,Tomatoes
16-417,"Tuna, canned in sunflower oil, drained",JC,25.4,6.4,0,159,0,J,Fish,Tuna
13-861,"Turmeric, ground",H,6.7,7,0,0,,H,Herbs and spices,Turmeric
17-339,Vinegar,WY,0.4,0,0.6,22,0,W,"Soups, sauces, and misc",Vinegar
14-879,"Walnuts, kernel only",GA,14.7,68.5,3.3,688,0,G,Nuts and seeds,Walnuts
13-462,"Watercress, raw",DG,3,1,0.4,22,0,D,Vegetables,Watercress
11-904,"Wheat, bulgur, raw",AA,10.6,2,77.8,352,6.7,A,Cereals,Bulgar wheat
17-752,"Wine, red",QE,0.1,0,0.2,76,0,Q,Alcohol,Red wine
17-755,"Wine, white, dry",QE,0.1,0,0.6,75,0,Q,Alcohol,Dry white wine
17-756,"Wine, white, medium",QE,0.1,0,3,75,0,Q,Alcohol,White wine
17-723,Worcestershire sauce,WCN,1.4,0.1,28.3,113,Tr,W,"Soups, sauces, and misc",Worcestershire sauce
13-397,"Yam, flesh only, raw",DG,1.5,0.3,28.2,114,NA,D,Vegetables,Yam
12-555,"Yogurt, Greek style, plain",BN,5.7,10.2,4.8,133,0,B,Milk,Greek yogurt
12-379,"Yogurt, low fat, plain",BN,4.8,1,7.8,57,0,B,Milk,Low-fat yogurt
