pdes,diameter
235086,1.024
235700,
235756,1.136
236716,
237442,
237551,0.630
237805,
238063,1.470
238456,0.328
239849,0.450
240320,
241370,0.764
241596,1.548
241662,
242147,1.687
242187,0.605
242191,0.370
242211,
242216,
242450,2.914
242643,1.989
242708,
243025,2.123
243147,0.912
243298,
243566,0.881
244670,
244977,0.495
246138,0.588
247156,1.655
247360,
247517,
248083,2.358
248590,4.726
248818,
248926,2.907
249595,
249615,
249816,
249886,1.201
250162,
250458,
250577,
250614,1.617
250620,0.654
250680,0.398
250697,
250706,0.535
251346,
251722,
251732,
252091,
252373,
252399,0.291
252558,0.533
252793,
253062,
253106,
253586,
253841,
254417,
254419,0.629
255071,
255501,
256004,
256412,4.444
256670,
257744,
257838,
258325,
259221,
259802,
260141,
260277,0.470
261938,
262623,0.761
263976,0.785
264308,
264357,0.113
264993,
265032,
265187,
265196,0.361
265482,
265661,
265962,
267131,
267136,
267221,0.562
267223,
267270,
267337,0.439
267494,
267720,
267729,
267759,
267940,
269690,0.888
271480,0.709
274138,0.747
274855,
275545,
275558,
275611,1.483
275677,
275714,
275792,
275974,0.626
275975,
275976,2.381
276033,
276049,3.5
276111,
276274,1.528
276392,
276397,
276409,
276468,1.034
276660,
276703,0.521
276732,
276770,
276786,
276891,
277039,0.676
277127,
277142,
277279,
277473,
277475,
277570,0.439
277616,1.236
277617,0.666
277810,
277830,
277958,
278327,
278381,
279744,
279816,
280136,
280244,
280491,
281070,
281365,
281375,
283457,
283460,
283729,
284114,
284422,
285110,
285179,
285263,
285331,
285339,0.614
285540,
285567,
285571,
285625,
285638,
285818,
285838,
285944,1.044
285990,
286079,
286080,
288592,
288807,
288914,
289227,
289315,
290772,
292165,
292220,
293054,
293726,
294739,
296318,
297274,
297300,0.320
297418,0.407
299582,0.622
301011,
301844,0.4
302010,
302156,
302169,
302311,
302523,
302591,
302800,
302830,
302831,
302871,
303174,1.504
303248,
303250,
303262,
303449,
303450,
303933,
304088,
304153,2.054
304293,
304330,0.780
304640,
305090,
306367,
306383,
306431,
306462,0.476
306523,
306595,
307005,
307070,
307161,
307493,
307564,
307918,0.374
308041,
308043,
308127,
308242,
308635,0.4
308899,
309203,
309214,
309662,
309728,
310402,
310442,
310560,
310737,
310842,
311044,
311066,
311321,0.583
311554,
311555,
311925,
312070,0.595
312473,
312942,
312956,
313276,
313538,
313548,
313552,
313809,
314079,
314082,
314212,
315020,
315098,
315508,0.836
316695,
317212,
317255,
317643,
317685,
318050,
318160,
318411,
318450,
319988,
320378,
322652,
322705,
322756,
322763,1.252
322775,
322913,
322966,
323179,
323300,
325102,0.361
325395,
325769,
326290,
326291,
326302,
326332,
326354,
326386,
326388,1.142
326683,0.518
326732,
326742,
326777,
326946,
327140,
328059,
329275,
329291,
329338,
329340,
329343,
329390,
329395,
329437,
329520,
329571,
329614,
329669,
329713,
329770,
329774,
329915,1.012
330233,
330659,
330809,
330825,
331471,
331509,
331510,
331769,
331792,
331876,
331963,
331990,
331999,
332408,
332446,
332775,0.467
333284,
333311,
333358,
333478,
333480,
333510,
333521,
333555,
333578,0.204
333707,
333755,
333888,
333889,0.919
333908,
334412,
334673,0.570
335746,
335758,
337053,
337069,
337075,
337084,
337118,
337119,0.521
337248,
337252,
337345,
337557,
337558,
337866,
338049,
338172,
338176,
338292,
338347,1.420
338567,
339492,
339714,
339715,
340048,
340291,
340666,
341050,
341816,
341843,0.40
342866,
343098,
343158,
343166,0.670
344074,
344076,
344133,
344143,
344756,
345646,
345705,0.406
345722,0.653
345813,1.377
345853,
347634,
347813,
348304,
348306,
348314,
348400,
348461,
348595,
348776,
349063,
349068,
349074,1.081
349219,0.583
349507,
349925,0.920
349928,
350462,
350513,1.77
350523,
350536,
350713,
350751,
350964,
350988,
351278,
351331,
351340,
351370,
351508,
351545,
351815,
352102,
352143,
353190,
353938,
353947,
354030,
354101,
354127,
354182,
354332,
354663,
354713,
354876,
354952,
355046,
355256,
355770,
356285,
356394,1.071
356991,
357005,
357022,
357024,
357028,
357058,
357311,
357414,
357439,
357594,
357618,
357621,
357622,
358453,
358471,
358744,
359170,
359242,
359369,
359592,
360191,0.4
360192,
360433,
360502,
361071,
361123,
361518,
361532,
361538,0.479
361611,
361689,
361754,
361861,
362310,
363024,0.558
363027,
363067,
363069,
363071,
363075,
363076,
363084,
363116,
363163,
363267,
363298,
363305,
363344,
363505,1.876
363599,0.152
363617,
363626,0.633
363734,
363790,
363814,
363831,
364136,
364762,1.047
364877,0.786
365014,
365071,0.674
365246,
365424,0.212
365449,0.215
366470,
366615,
366733,
366746,
366774,0.859
366833,
367248,0.386
367390,
367525,
367638,
367684,0.498
367789,
367943,
368184,0.381
368203,
368565,
368664,
368790,
368949,
369057,
369264,1.515
369296,
369452,
369454,0.846
369983,
369984,
369986,
370037,
370061,
370307,
370688,
370702,
371336,1.137
371660,0.230
371973,
373135,
373393,
373428,
373503,
373579,
374038,
374158,
374188,
374267,
374449,0.414
374851,
374855,
375054,
375103,
375505,
375657,
376707,
376729,
376775,
376778,
376788,
376848,
376864,
376879,
376883,
377097,
377732,0.986
377972,
378124,
378160,
378358,
378526,
378610,
378842,
380128,
380160,
380188,1.312
380205,
380321,
380359,
380455,
380476,
380524,
380636,
380818,
380929,
380981,
381181,
381564,
381677,0.472
381906,
381989,0.783
382395,
382406,
382459,
382503,
382625,
382745,
382758,
382825,
382875,
383610,
385186,
385252,
385268,3.2
385343,
385402,1.597
385423,
385497,
385580,
385605,
385843,
386259,
386281,
386298,
386454,0.367
386504,
386720,0.964
386847,0.663
387505,1.060
387648,
387668,
387717,
387733,0.344
387746,0.366
387793,
387816,
387871,
388185,2.750
388188,
388189,0.315
388468,
388567,
388798,
388838,0.378
388945,
389694,0.451
390522,
390536,
390725,0.293
390929,
391033,
391151,1.745
391211,0.412
391275,
391449,
391451,
391508,
392211,
392476,
392704,
393359,0.774
393569,0.551
393908,
394130,1.218
394155,
394392,0.636
394783,
395143,0.636
395207,0.724
395289,
396593,
396730,
396793,
396794,
397237,1.180
397326,
397471,
397474,
397847,
398188,0.462
399307,
399308,
399325,0.669
399433,1.339
399446,
399457,
399611,
399774,
401856,
401857,4.2
401885,
401925,
401954,
401998,
402267,
403039,
403247,
403775,
404108,
405189,
405212,
405427,
405562,
405762,
406213,
406952,0.772
407324,0.281
407338,
407653,
407656,
408751,0.399
408752,
408792,
408869,
408980,
408982,
409204,
409256,1.887
409266,
409342,
409836,0.554
409934,
410088,1.032
410195,
410622,
410627,
410649,
410650,
410777,0.472
410778,1.457
410832,
411165,0.159
411201,0.658
411280,
411611,0.358
411655,
412976,
412977,
412983,
412995,
413002,
413021,
413038,1.237
413091,
413123,
413192,2.160
413216,
413260,
413421,1.900
413563,
413577,
413820,0.659
413989,
414286,0.369
414287,
414429,
414532,
414586,0.996
414746,1.800
414772,1.466
414800,
414903,
414960,
414990,
415027,
415029,
415267,
415710,
415711,
415713,
415715,
415745,
415746,
415949,
415986,
415987,
416002,
416032,
416071,
416151,
416186,
416195,
416217,
416224,
416231,
416283,
416567,2.538
416584,
416591,
416675,
416680,
416694,2.292
416801,0.906
416804,
416851,
417167,
417201,
417210,
417211,
417217,
417264,
417419,
417581,
417612,
417634,0.418
417655,
417816,
417871,
417874,
417949,
418094,0.890
418135,
418198,
418233,
418265,
418416,
418797,0.789
418846,
418849,
418896,
418900,
418929,1.432
419022,
419464,
419472,0.459
419624,0.357
419829,
419880,0.982
419922,
420048,
420187,
420210,
420262,
420286,
420302,
420591,
420738,
422637,
422638,0.193
422659,
422686,0.176
422699,
422787,
422977,
423022,
423100,
423210,
423321,0.202
423709,
423747,
424089,
424392,
424482,
424532,
424965,
424969,
425047,
425250,
425450,
425713,
425755,
426071,
426082,
427499,
427621,
427643,
427684,
427778,
428086,
428209,
428223,
428681,
428694,
429073,2.498
429094,
429382,0.448
429389,
429584,
429733,
429736,
429746,
430439,
430440,
430544,
430552,
430802,
430804,
431107,
431394,
431698,
431760,
431775,
431776,
432226,
432509,
432655,
433303,
433939,
433953,
433960,
433992,0.827
434007,
434051,
434053,
434096,
434154,
434188,
434196,
434313,
434326,
434344,
434500,
434632,1.150
434633,
434677,
434734,
434740,0.997
434751,
434786,
435058,
435138,
435159,
435302,
435404,0.921
435441,
435548,
435730,
436030,0.295
436035,
436037,
436094,
436116,
436324,0.369
436325,0.452
436329,0.622
436568,
436654,
436671,
436724,
436761,2.773
436763,
436764,
436771,
436774,
436775,
437316,
437841,
437844,
437846,
437879,1.820
437905,
437908,
437965,
437994,1.078
438017,
438105,
438107,0.663
438116,
438317,
438429,
438430,
438452,
438661,
438897,0.946
438902,2.226
438908,
438955,
438990,
439313,
439437,
439854,
439877,
439889,
439898,
439908,
440012,
440212,
441058,
441103,
441304,
441641,
441823,
441825,
441952,2.246
441987,0.228
442037,0.695
442177,
442243,
442523,
442559,
442605,
442609,
442742,2.003
443103,
443104,
443806,
443837,0.253
443880,
443923,
443972,
444004,
444185,
444193,
444584,
444627,
444628,
444935,
445025,
445267,
445305,0.762
445775,
445830,
445974,
446789,
446791,
446804,
446826,
446833,
446862,
446924,
446935,
446938,
446955,
446963,
447221,
447655,
447755,
447795,
447903,
447977,
448003,
448628,
448721,
448724,
448818,
448972,
449074,
449089,
449107,
450142,
450143,
450159,
450160,
450185,
450203,
450237,0.096
450238,
450259,
450263,
450270,
450293,
450300,
450648,
450649,
450779,
450894,
451003,
451124,2.188
451157,
451217,2.720
451297,
451370,
451397,
452302,
452307,
452313,
452314,
452334,
452376,
452389,0.846
452397,
452421,
452474,
452561,
452639,
452807,
453100,
453309,
453563,
453687,0.948
453707,
453729,
453778,
454078,
454094,
454100,
454101,
454177,
454266,
455146,
455148,
455157,
455176,
455184,
455185,
455192,1.082
455193,
455199,
455213,
455299,
455322,
455407,
455415,
455426,
455432,
455550,
455554,
455588,
455591,
455594,
455659,
455687,
455736,
455795,
455956,
456051,
456301,
456536,
456537,0.308
456618,
456651,
456863,
456898,
456938,
456946,
456973,
457059,
457212,
457260,
457647,
457662,
457663,
457768,
457912,
458062,
458116,
458122,
458135,0.304
458198,
458368,
458375,
458418,
458436,
458452,
458723,
458732,
458745,
458964,
459046,
459119,
459200,
459386,
459451,
459458,
459462,
459683,
459872,
461353,
461365,
461397,
461501,
461852,
461912,
462041,
462238,0.227
462329,
462550,
462559,
462736,
462775,0.579
462959,
463216,
463257,
463282,
463360,
463380,
463387,
463664,
464639,
464797,
464798,1.109
464885,0.384
465098,
465166,
465402,
465616,
465617,
465633,
465749,2.490
465824,
465826,0.150
465853,
465892,
466053,
